type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
OII	4.1921e+03	1.8385e-15	4.0513e+01	2.6601e+01
LAE	4.1387e+03	2.6271e-16	3.3430e+00	4.4900e+01
OII	4.1351e+03	1.3537e-15	1.2557e+02	6.1486e+00
OII	4.0687e+03	1.3396e-15	4.0132e+02	1.8432e+00
OII	4.1765e+03	6.2946e-17	4.5213e+01	8.1000e-01
LAE	3.9182e+03	2.6251e-16	8.0600e-01	1.6679e+02
LAE	4.0966e+03	4.9396e-17	-1.0700e-02	1.0000e+04
LAE	3.8813e+03	9.2875e-17	-5.9900e-02	1.0000e+04
LAE	4.0490e+03	8.0963e-17	1.2820e-01	3.4537e+02
LAE	4.1677e+03	5.0698e-17	1.1920e-01	2.4643e+02
OII	3.9853e+03	1.3359e-16	9.1789e+01	7.7110e-01
LAE	3.8245e+03	7.7747e-17	2.9770e-01	1.2742e+02
LAE	4.1828e+03	1.2079e-16	3.8230e-01	1.8439e+02
LAE	4.0307e+03	5.6216e-17	1.6270e-01	1.8724e+02
LAE	3.9281e+03	9.5442e-17	8.1810e-01	6.0045e+01
LAE	3.9778e+03	6.4243e-17	2.6180e-01	1.2952e+02
LAE	3.9874e+03	1.9839e-16	2.1615e+00	4.8677e+01
LAE	3.9370e+03	5.6874e-17	8.2560e-01	3.5617e+01
LAE	4.0449e+03	6.7294e-17	2.3420e-01	1.5682e+02
LAE	4.1228e+03	5.2230e-17	4.6640e-01	6.3494e+01
LAE	3.9985e+03	5.1146e-17	1.5160e-01	1.7993e+02
OII	4.1353e+03	6.4914e-17	4.5226e+00	8.1873e+00
OII	4.0288e+03	2.5704e-16	1.7648e+01	7.8859e+00
LAE	3.8271e+03	7.3708e-17	2.4580e-01	1.4650e+02
LAE	4.0528e+03	5.4898e-17	1.1785e+00	2.5522e+01
LAE	3.9572e+03	7.6457e-17	2.1380e-01	1.8680e+02
LAE	4.1934e+03	4.5865e-17	2.9800e-01	9.0276e+01
